sheet_sub_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,date_time,rt,stimulus,response,experiment
44,,,,,,,,,,,,video-button-response,18,382939,0.0-18.0,58bfee7de5869400018f5e9e,636e2a29b9410d781bec59f3,636e416a52554130951d0af0,,26126,"[""""tsg_comb/TestSeq006_3-GD_v13_000-SG_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,10,211132,0.0-10.0,5e9027110aacc7320bd9a84b,636e2a29b9410d781bec59f3,636e416f23b1f407cdc8db55,,22347,"[""""tsg_comb/TestSeq004_7-GDDW_000-GT-B.mp4""""]",1,2
44,,,,,,,,,,,,video-button-response,17,396611,0.0-17.0,60cce9e5db3f76eabb186870,636e2a29b9410d781bec59f3,636e416e7a3f7d942d689ac9,,22704,"[""""tsg_comb/TestSeq006_1-GT-SG_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,18,401837,0.0-18.0,5ae5a3ff3ab2fb0001ef2b91,636e2a29b9410d781bec59f3,636e416818d8079635044436,,23683,"[""""tsg_comb/TestSeq005_2-GDDW_000-SG_000-A.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,15,399894,0.0-15.0,60ec003195a012028e8b2879,636e2a29b9410d781bec59f3,636e416d1b79dcbbb29a4373,,21452,"[""""tsg_comb/TestSeq004_6-GDDW_000-SG_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,16,407998,0.0-16.0,601492777b72a04ce67e2f6d,636e2a29b9410d781bec59f3,636e416ecf447e09e39a43ab,,21657,"[""""tsg_comb/TestSeq004_3-GD_v13_000-GT-B.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,16,323477,0.0-16.0,5fbf94f2891c55203896f7dc,636e2a29b9410d781bec59f3,636e4168ae435f0ae678b20f,,23472,"[""""tsg_comb/TestSeq004_6-GD_v13_000-GT-A.mp4""""]",1,2
44,,,,,,,,,,,,video-button-response,14,408391,0.0-14.0,62da634e06750be929c61f75,636e2a29b9410d781bec59f3,636e41696c9c80c7fc78b253,,24708,"[""""tsg_comb/TestSeq003_6-GD_v13_000-GT-B.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,18,372976,0.0-18.0,5a78b50d5292b80001228479,636e2a29b9410d781bec59f3,636e416def3330edad164076,,21175,"[""""tsg_comb/TestSeq006_2-GDDW_000-GD_v13_000-B.mp4""""]",0,2
44,,,,,,,,,,,,video-button-response,13,332432,0.0-13.0,5bec91e66cb00e00015b8a7b,636e2a29b9410d781bec59f3,636e416cbea6fad1df74e5a3,,21824,"[""""tsg_comb/TestSeq006_9-GD_v13_000-SG_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,15,396080,0.0-15.0,5eaaee8903ea9906ba49f7db,636e2a29b9410d781bec59f3,636e416a0d3847fed9af90ec,,28358,"[""""tsg_comb/TestSeq002_3-GDDW_000-GT-B.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,17,371487,0.0-17.0,6064e0c468bd2b84f807b924,636e2a29b9410d781bec59f3,636e416f3e1a5e5130a763fe,,20901,"[""""tsg_comb/TestSeq002_6-GD_v13_000-GT-A.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,17,412236,0.0-17.0,5eff07d279c81803541503a8,636e2a29b9410d781bec59f3,636e41673c87fa0197937748,,23020,"[""""tsg_comb/TestSeq005_0-GD_v13_000-GT-A.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,18,412296,0.0-18.0,60e85190b9cffd8fed0a064f,636e2a29b9410d781bec59f3,636e41694e80a20e93ada151,,23626,"[""""tsg_comb/TestSeq005_3-GDDW_000-SG_000-B.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,19,405300,0.0-19.0,58bfee7de5869400018f5e9e,636e2a29b9410d781bec59f3,636e416a52554130951d0af0,,22349,"[""""tsg_comb/TestSeq003_2-GDDW_000-GT-B.mp4""""]",0,2
44,,,,,,,,,,,,video-button-response,18,418340,0.0-18.0,60cce9e5db3f76eabb186870,636e2a29b9410d781bec59f3,636e416e7a3f7d942d689ac9,,21726,"[""""tsg_comb/TestSeq005_1-GD_v13_000-SG_000-B.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,19,424428,0.0-19.0,5ae5a3ff3ab2fb0001ef2b91,636e2a29b9410d781bec59f3,636e416818d8079635044436,,22586,"[""""tsg_comb/TestSeq006_5-GT-SG_000-A.mp4""""]",0,2
44,,,,,,,,,,,,video-button-response,11,234708,0.0-11.0,5e9027110aacc7320bd9a84b,636e2a29b9410d781bec59f3,636e416f23b1f407cdc8db55,,23571,"[""""tsg_comb/TestSeq002_4-GDDW_000-GT-A.mp4""""]",1,2
44,,,,,,,,,,,,video-button-response,16,421365,0.0-16.0,60ec003195a012028e8b2879,636e2a29b9410d781bec59f3,636e416d1b79dcbbb29a4373,,21469,"[""""tsg_comb/TestSeq006_9-GDDW_000-SG_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,17,344843,0.0-17.0,5fbf94f2891c55203896f7dc,636e2a29b9410d781bec59f3,636e4168ae435f0ae678b20f,,21362,"[""""tsg_comb/TestSeq006_0-GDDW_000-SG_000-B.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,19,394091,0.0-19.0,5a78b50d5292b80001228479,636e2a29b9410d781bec59f3,636e416def3330edad164076,,21112,"[""""tsg_comb/TestSeq004_1-GDDW_000-GT-B.mp4""""]",0,2
44,,,,,,,,,,,,video-button-response,10,432052,0.0-10.0,5ef4860d22eb1d04bbcd9586,636e2a29b9410d781bec59f3,636e416b3df93bff87689ae2,,45220,"[""""tsg_comb/TestSeq004_2-GDDW_000-SG_000-A.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,15,431030,0.0-15.0,62da634e06750be929c61f75,636e2a29b9410d781bec59f3,636e41696c9c80c7fc78b253,,22635,"[""""tsg_comb/TestSeq006_9-GT-SG_000-A.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,16,418496,0.0-16.0,5eaaee8903ea9906ba49f7db,636e2a29b9410d781bec59f3,636e416a0d3847fed9af90ec,,22414,"[""""tsg_comb/TestSeq004_2-GDDW_000-GD_v13_000-A.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,14,356207,0.0-14.0,5bec91e66cb00e00015b8a7b,636e2a29b9410d781bec59f3,636e416cbea6fad1df74e5a3,,23744,"[""""tsg_comb/TestSeq003_3-GD_v13_000-SG_000-A.mp4""""]",1,2
44,,,,,,,,,,,,video-button-response,18,394392,0.0-18.0,6064e0c468bd2b84f807b924,636e2a29b9410d781bec59f3,636e416f3e1a5e5130a763fe,,22904,"[""""tsg_comb/TestSeq006_3-GDDW_000-GD_v13_000-A.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,18,434388,0.0-18.0,5eff07d279c81803541503a8,636e2a29b9410d781bec59f3,636e41673c87fa0197937748,,22130,"[""""tsg_comb/TestSeq003_0-GT-SG_000-B.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,19,434970,0.0-19.0,60e85190b9cffd8fed0a064f,636e2a29b9410d781bec59f3,636e41694e80a20e93ada151,,22669,"[""""tsg_comb/TestSeq006_9-GD_v13_000-SG_000-A.mp4""""]",1,2
44,,,,,,,,,,,,video-button-response,19,439898,0.0-19.0,60cce9e5db3f76eabb186870,636e2a29b9410d781bec59f3,636e416e7a3f7d942d689ac9,,21556,"[""""tsg_comb/TestSeq006_5-GDDW_000-SG_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,20,427723,0.0-20.0,58bfee7de5869400018f5e9e,636e2a29b9410d781bec59f3,636e416a52554130951d0af0,,22411,"[""""tsg_comb/TestSeq003_5-GD_v13_000-GT-A.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,17,439021,0.0-17.0,60ec003195a012028e8b2879,636e2a29b9410d781bec59f3,636e416d1b79dcbbb29a4373,,17653,"[""""tsg_comb/TestSeq003_6-GDDW_000-SG_000-B.mp4""""]",1,2
